OrderId [number],Type [string],Chips [bool],Drink [bool],Value [€], Timestamp [s]
1143 , chicken , 1 , 1 , 11.500000 , 45019.297589
1143 , veggy , 0 , 1 , 7.500000 , 45019.297589
1145 , chicken , 1 , 1 , 11.500000 , 45251.028484
1145 , chicken , 1 , 1 , 11.500000 , 45251.028484
1145 , meat , 1 , 1 , 12.500000 , 45251.028484
1145 , chicken , 1 , 1 , 11.500000 , 45251.028484
1146 , chicken , 1 , 1 , 11.500000 , 45278.303516
1146 , meat , 1 , 1 , 12.500000 , 45278.303516
1146 , chicken , 1 , 1 , 11.500000 , 45278.303516
1147 , meat , 1 , 1 , 12.500000 , 45527.183276
1147 , meat , 1 , 1 , 12.500000 , 45527.183276
1148 , chicken , 1 , 1 , 11.500000 , 45784.157639
1148 , chicken , 1 , 1 , 11.500000 , 45784.157639
1148 , veggy , 1 , 1 , 10.500000 , 45784.157639
1149 , chicken , 1 , 1 , 11.500000 , 46059.932814
1149 , veggy , 1 , 1 , 10.500000 , 46059.932814
1149 , chicken , 1 , 1 , 11.500000 , 46059.932814
1149 , veggy , 1 , 1 , 10.500000 , 46059.932814
1150 , meat , 1 , 1 , 12.500000 , 46160.510604
1150 , meat , 0 , 1 , 9.500000 , 46160.510604
1150 , meat , 1 , 1 , 12.500000 , 46160.510604
1151 , chicken , 1 , 1 , 11.500000 , 46161.917120
1151 , veggy , 1 , 1 , 10.500000 , 46161.917120
1151 , meat , 1 , 1 , 12.500000 , 46161.917120
1151 , meat , 1 , 1 , 12.500000 , 46161.917120
1152 , chicken , 1 , 1 , 11.500000 , 46191.977231
1153 , veggy , 0 , 1 , 7.500000 , 46212.391456
1153 , meat , 0 , 1 , 9.500000 , 46212.391456
1154 , veggy , 0 , 1 , 7.500000 , 46299.762362
1154 , meat , 0 , 1 , 9.500000 , 46299.762362
1154 , veggy , 1 , 1 , 10.500000 , 46299.762362
1155 , chicken , 1 , 1 , 11.500000 , 46355.581381
1155 , veggy , 0 , 1 , 7.500000 , 46355.581381
1155 , veggy , 0 , 1 , 7.500000 , 46355.581381
1156 , chicken , 1 , 1 , 11.500000 , 46602.316466
1156 , veggy , 1 , 1 , 10.500000 , 46602.316466
1156 , chicken , 1 , 1 , 11.500000 , 46602.316466
1157 , meat , 1 , 1 , 12.500000 , 46658.326881
1157 , chicken , 1 , 1 , 11.500000 , 46658.326881
1158 , veggy , 1 , 1 , 10.500000 , 46812.002658
1158 , meat , 1 , 0 , 10.000000 , 46812.002658
1158 , chicken , 0 , 1 , 8.500000 , 46812.002658
1158 , veggy , 1 , 1 , 10.500000 , 46812.002658
1158 , chicken , 1 , 1 , 11.500000 , 46812.002658
1159 , meat , 1 , 1 , 12.500000 , 46899.710035
1159 , chicken , 1 , 1 , 11.500000 , 46899.710035
1159 , chicken , 1 , 0 , 9.000000 , 46899.710035
1160 , veggy , 0 , 1 , 7.500000 , 46994.051786
1160 , meat , 1 , 1 , 12.500000 , 46994.051786
1161 , chicken , 1 , 1 , 11.500000 , 47084.431122
1161 , meat , 0 , 1 , 9.500000 , 47084.431122
1161 , veggy , 0 , 0 , 5.000000 , 47084.431122
1162 , meat , 0 , 1 , 9.500000 , 47122.554433
1166 , meat , 1 , 1 , 12.500000 , 47165.319881
1163 , chicken , 1 , 0 , 9.000000 , 47178.452310
1163 , chicken , 1 , 1 , 11.500000 , 47178.452310
1164 , meat , 0 , 1 , 9.500000 , 47268.906889
